Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	RD139_Narrow_UPS1_0_1fmol_inj3.mzML	RD139_Narrow_UPS1_0_1fmol_inj1.mzML	RD139_Narrow_UPS1_0_1fmol_inj2.mzML	RD139_Narrow_UPS1_0_25fmol_inj3.mzML	RD139_Narrow_UPS1_0_25fmol_inj1.mzML	RD139_Narrow_UPS1_0_25fmol_inj2.mzML
P0AF63	P0AF63	NSRR_ECOLI	nsrR	HTH-type transcriptional repressor NsrR	1.214e+06	1.17369e+06	1.23426e+06	1.13675e+06	1.07478e+06	1.13801e+06
P0AF67	P0AF67	TSAE_ECOLI	tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	3.39335e+06	3.20202e+06	3.32841e+06	3.33679e+06	3.60042e+06	3.54346e+06
P0AF70	P0AF70	YJEI_ECOLI	yjeI	Uncharacterized protein YjeI	1.12942e+06	1.26141e+06	1.159e+06	1.24255e+06	1.55114e+06	1.70731e+06
P0AF98	P0AF98	LPTF_ECOLI	lptF	Lipopolysaccharide export system permease protein LptF	922001	827753	903178	733958	919982	908485
P0AFA2	P0AFA2	NARX_ECOLI	narX	Nitrate/nitrite sensor protein NarX		182199	198158	162835	306197	246630
P0AFB1	P0AFB1	NLPI_ECOLI	nlpI	Lipoprotein NlpI	1.78813e+06	1.66078e+06	1.40192e+06	1.42624e+06	1.52366e+06	1.49083e+06
P0AFB5	P0AFB5	NTRB_ECOLI	glnL	Nitrogen regulation protein NR(II)	389846	514214	562309	478733	417291	476045
P0AFB8	P0AFB8	NTRC_ECOLI	glnG	Nitrogen regulation protein NR(I)	799610	980556	943605	1.17388e+06	998655	1.00666e+06
P0AFC3	P0AFC3	NUOA_ECOLI	nuoA	NADH-quinone oxidoreductase subunit A	2.23692e+06	2.22022e+06	2.42318e+06	2.13017e+06	2.16693e+06	2.24313e+06
P0AFD1	P0AFD1	NUOE_ECOLI	nuoE	NADH-quinone oxidoreductase subunit E	1.37706e+06	1.28815e+06	1.40603e+06	1.5253e+06	1.40211e+06	1.33904e+06
P0AFD6	P0AFD6	NUOI_ECOLI	nuoI	NADH-quinone oxidoreductase subunit I	2.82266e+06	2.75884e+06	2.58572e+06	3.2142e+06	2.78684e+06	3.21588e+06
P0AFF6	P0AFF6	NUSA_ECOLI	nusA	Transcription termination/antitermination protein NusA	4.25975e+06	4.3413e+06	4.29999e+06	4.35017e+06	4.36759e+06	4.36754e+06
P0AFG0	P0AFG0	NUSG_ECOLI	nusG	Transcription termination/antitermination protein NusG	897632	747655	723273	1.04959e+06	1.27515e+06	1.27524e+06
P0AFG3	P0AFG3	ODO1_ECOLI	sucA	2-oxoglutarate dehydrogenase E1 component	2.12689e+06	2.15224e+06	2.1257e+06	2.36033e+06	2.47508e+06	2.13758e+06
P0AFG6	P0AFG6	ODO2_ECOLI	sucB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	1.40921e+06	1.43089e+06	1.40526e+06	1.64265e+06	1.66214e+06	1.61977e+06
P0AFG8	P0AFG8	ODP1_ECOLI	aceE	Pyruvate dehydrogenase E1 component	2.4733e+07	2.12518e+07	2.22777e+07	2.25141e+07	2.1387e+07	2.17879e+07
P0AFH8	P0AFH8	OSMY_ECOLI	osmY	Osmotically-inducible protein Y	4.74343e+06	3.55135e+06	5.17793e+06	4.56668e+06	4.44285e+06	4.51482e+06
P0AFI0	P0AFI0	OXC_ECOLI	oxc	Oxalyl-CoA decarboxylase	1.25017e+06	1.04566e+06	1.00383e+06	1.32023e+06	1.0383e+06	1.14768e+06
P0AFI2	P0AFI2	PARC_ECOLI	parC	DNA topoisomerase 4 subunit A	868759	1.08646e+06	990013	856156	839536	955280
P0AFI5	P0AFI5	PBP7_ECOLI	pbpG	D-alanyl-D-alanine endopeptidase	1.29322e+06	1.31575e+06	1.38134e+06	1.28433e+06	1.35952e+06	1.27173e+06
P0AFI7	P0AFI7	PDXH_ECOLI	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	1.79382e+06	1.50506e+06	1.69113e+06	1.54762e+06	1.59519e+06	1.71577e+06
P0AFJ1	P0AFJ1	PHNA_ECOLI	phnA	Protein PhnA	998198	972882	1.41415e+06	1.35012e+06	1.44268e+06	1.30256e+06
P0AFJ7	P0AFJ7	PITA_ECOLI	pitA	Low-affinity inorganic phosphate transporter 1	757019	671180	809818	876045	803408	681864
P0AFK0	P0AFK0	PMBA_ECOLI	pmbA	Metalloprotease PmbA	1.84048e+06	1.79485e+06	1.79719e+06	1.88414e+06	2.00118e+06	1.92285e+06
P0AFK9	P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	8.32433e+06	8.26766e+06	8.5714e+06	8.43563e+06	8.35845e+06	8.74024e+06
P0AFL3	P0AFL3	PPIA_ECOLI	ppiA	Peptidyl-prolyl cis-trans isomerase A	2.82301e+06	2.81881e+06	2.90382e+06	2.72508e+06	2.50766e+06	2.87096e+06
P0AFL6	P0AFL6	PPX_ECOLI	ppx	Exopolyphosphatase	1.36075e+06	1.5712e+06	1.51432e+06	1.40121e+06	1.52026e+06	1.58531e+06
P0AFM2	P0AFM2	PROX_ECOLI	proX	Glycine betaine-binding periplasmic protein	994727	918435	937290	1.06482e+06	1.01282e+06	1.22165e+06
P0AFM6	P0AFM6	PSPA_ECOLI	pspA	Phage shock protein A	2.86774e+06	2.72901e+06	2.9449e+06	2.95031e+06	3.19676e+06	2.97263e+06
P0AFM9	P0AFM9	PSPB_ECOLI	pspB	Phage shock protein B	804039	762137	783804	713010	734118	659049
P0AFP4	P0AFP4	YBBO_ECOLI	ybbO	Uncharacterized oxidoreductase YbbO	1.61803e+06	1.6459e+06	1.50897e+06	1.43526e+06	1.48478e+06	1.53778e+06
P0AFP6	P0AFP6	GCH1L_ECOLI	ybgI	GTP cyclohydrolase 1 type 2 homolog	8.77199e+06	8.71449e+06	8.84628e+06	8.8916e+06	8.13564e+06	9.04106e+06
P0AFP9	P0AFP9	YBHR_ECOLI	ybhR	Inner membrane transport permease YbhR	121563	50837.7	97368.8	113706	43074.8	110719
P0AFQ7	P0AFQ7	YCFH_ECOLI	ycfH	Uncharacterized metal-dependent hydrolase YcfH	3.64692e+06	3.4325e+06	3.4841e+06	3.85937e+06	3.59542e+06	3.77798e+06
P0AFR2	P0AFR2	DAUA_ECOLI	dauA	C4-dicarboxylic acid transporter DauA	211530	289351	214073	173916	207259	180411
P0AFR4	P0AFR4	YCIO_ECOLI	yciO	Uncharacterized protein YciO	746939	855258	827645	780173	889556	751235
P0AFT2	P0AFT2	YECS_ECOLI	yecS	L-cystine transport system permease protein YecS	170091	251930	276639	195997	272751	199385
P0AFU8	P0AFU8	RISA_ECOLI	ribC	Riboflavin synthase	944012	787974	946233	1.00029e+06	1.06584e+06	972495
P0AFW8	P0AFW8	ROF_ECOLI	rof	Protein rof	3.12538e+06	3.23068e+06	3.11938e+06	3.17257e+06	3.18484e+06	2.96499e+06
P0AFX9	P0AFX9	RSEB_ECOLI	rseB	Sigma-E factor regulatory protein RseB	1.10824e+06	871572	1.00712e+06	1.10132e+06	924906	1.00213e+06
P0AFY2	P0AFY2	SANA_ECOLI	sanA	Protein SanA		146125	116249	103411	133822	172915
P0AFY8	P0AFY8	SEQA_ECOLI	seqA	Negative modulator of initiation of replication	5.07302e+06	5.04552e+06	4.88557e+06	4.92602e+06	4.915e+06	4.75252e+06
P0AFZ1	P0AFZ1	SSEB_ECOLI	sseB	Protein SseB	1.07652e+06	949718	1.12272e+06	684974	1.05833e+06	1.11635e+06
P0AFZ3	P0AFZ3	SSPB_ECOLI	sspB	Stringent starvation protein B	4.34021e+06	5.13844e+06	4.70966e+06	4.23256e+06	4.45859e+06	4.09316e+06
P0AG03	P0AG03	UBIX_ECOLI	ubiX	Flavin prenyltransferase UbiX	570779	432513	473336	530157	438343	490414
P0AG07	P0AG07	RPE_ECOLI	rpe	Ribulose-phosphate 3-epimerase	2.42117e+06	2.44283e+06	2.34483e+06	2.5133e+06	2.56439e+06	2.47576e+06
P0AG14	P0AG14	SOHB_ECOLI	sohB	Probable protease SohB	960228	1.01552e+06	999808	1.03717e+06	1.04185e+06	1.06408e+06
P0AG16	P0AG16	PUR1_ECOLI	purF	Amidophosphoribosyltransferase	450185	378987	514577	439749	398063	361055
P0AG20	P0AG20	RELA_ECOLI	relA	GTP pyrophosphokinase	589707	584344	620803	658418	687088	734129
P0AG24	P0AG24	SPOT_ECOLI	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	572161	591623	586915	589909	516571	627078
P0AG27	P0AG27	YIBN_ECOLI	yibN	Uncharacterized protein YibN	1.45169e+07	1.43285e+07	1.45723e+07	1.38111e+07	1.35266e+07	1.4481e+07
P0AG30	P0AG30	RHO_ECOLI	rho	Transcription termination factor Rho	3.12611e+06	2.75771e+06	3.07071e+06	3.32727e+06	3.31937e+06	3.47886e+06
P0AG40	P0AG40	RIBF_ECOLI	ribF	Riboflavin biosynthesis protein RibF	694437	848941	767580	861145	931056	810692
P0AG44	P0AG44	RL17_ECOLI	rplQ	50S ribosomal protein L17	2.47297e+07	2.32796e+07	2.49227e+07	2.7026e+07	2.38883e+07	2.65781e+07
P0AG48	P0AG48	RL21_ECOLI	rplU	50S ribosomal protein L21	1.38149e+06	1.3118e+06	1.71434e+06	1.57324e+06	1.48239e+06	1.65611e+06
P0AG55	P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	1.62426e+07	1.78158e+07	1.65224e+07	1.76251e+07	1.90101e+07	1.83774e+07
P0AG59	P0AG59	RS14_ECOLI	rpsN	30S ribosomal protein S14	1.49806e+07	1.29837e+07	1.39626e+07	1.40522e+07	1.16696e+07	1.35309e+07
P0AG63	P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	7.9861e+07	7.09666e+07	7.51393e+07	8.995e+07	9.43897e+07	8.98481e+07
P0AG67	P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	1.05232e+08	9.85662e+07	1.07221e+08	1.09536e+08	1.01564e+08	1.06683e+08
P0AG76	P0AG76	SBCD_ECOLI	sbcD	Nuclease SbcCD subunit D	259522	194774	243040	239924	239597	183192
P0AG78	P0AG78	SUBI_ECOLI	sbp	Sulfate-binding protein	489335	419337	443521	559586	497346	491694
P0AG82	P0AG82	PSTS_ECOLI	pstS	Phosphate-binding protein PstS	1.6231e+06	1.38552e+06	1.64603e+06	1.61099e+06	1.75504e+06	1.73451e+06
P0AG84	P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	253696	323776	323711	407200	377898	352997
P0AG86	P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	2.67135e+07	2.74405e+07	2.78723e+07	2.71689e+07	2.73611e+07	2.81027e+07
P0AG90	P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	2.19135e+06	2.41138e+06	2.59126e+06	2.66719e+06	2.51683e+06	2.54508e+06
P0AG93	P0AG93	SECF_ECOLI	secF	Protein translocase subunit SecF	1.18487e+06	1.17746e+06	1.11241e+06	870184	1.04103e+06	944495
P0AG99	P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	2.55606e+06	2.50803e+06	2.51621e+06	2.12513e+06	2.58977e+06	1.9566e+06
P0AGA2	P0AGA2	SECY_ECOLI	secY	Protein translocase subunit SecY	2.80014e+06	2.68679e+06	2.79483e+06	2.74134e+06	2.62021e+06	2.65944e+06
P0AGB0	P0AGB0	SERB_ECOLI	serB	Phosphoserine phosphatase	861389	762154	765173	880043	824951	808476
P0AGB6	P0AGB6	RPOE_ECOLI	rpoE	ECF RNA polymerase sigma-E factor	2.23629e+06	1.84459e+06	2.13723e+06	1.93081e+06	1.78129e+06	1.62461e+06
P0AGC3	P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	1.03892e+06	974287	1.08546e+06	1.08028e+06	1.10015e+06	1.03116e+06
P0AGC7	P0AGC7	SMP_ECOLI	smp	Protein Smp	468151	489017	475042	415555	575884	465364
P0AGD3	P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	7.98687e+06	7.37483e+06	8.1505e+06	6.92326e+06	6.78734e+06	6.6089e+06
P0AGD7	P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	5.30782e+06	5.69549e+06	5.859e+06	5.58983e+06	5.59256e+06	5.87983e+06
P0AGE0	P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	7.50762e+06	7.70613e+06	7.89778e+06	1.05269e+07	7.68992e+06	1.06188e+07
P0AGE6	P0AGE6	CHRR_ECOLI	chrR	Chromate reductase	1.19993e+06	1.8857e+06	1.38997e+06	1.72461e+06	1.60039e+06	1.71795e+06
P0AGE9	P0AGE9	SUCD_ECOLI	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha	7.42825e+06	7.46245e+06	7.61498e+06	7.37834e+06	7.37662e+06	6.96275e+06
P0AGF2	P0AGF2	CSDE_ECOLI	csdE	Sulfur acceptor protein CsdE	115026	37623.9		99694.3	127447	92176
P0AGF6	P0AGF6	TDCB_ECOLI	tdcB	L-threonine dehydratase catabolic TdcB	677510	671067	652705	407760	597197	540729
P0AGG0	P0AGG0	THIL_ECOLI	thiL	Thiamine-monophosphate kinase	342764	488007	414215	508991	547697	539969
P0AGG2	P0AGG2	TESB_ECOLI	tesB	Acyl-CoA thioesterase 2	560165	434523	504076	514301	639643	541802
P0AGG4	P0AGG4	THIO2_ECOLI	trxC	Thioredoxin-2	995427	639718	668104	841246	769404	824546
P0AGG8	P0AGG8	TLDD_ECOLI	tldD	Metalloprotease TldD	3.51571e+06	3.17734e+06	3.56882e+06	3.62895e+06	3.7862e+06	3.67069e+06
P0AGI8	P0AGI8	TRKA_ECOLI	trkA	Trk system potassium uptake protein TrkA	984131	877360	1.09172e+06	940191	1.02577e+06	937523
P0AGJ2	P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	257044	386429	309898	346019	312112	291379
P0AGJ5	P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	7.61517e+06	7.19291e+06	7.50092e+06	7.72651e+06	7.36513e+06	7.3479e+06
P0AGJ7	P0AGJ7	TRML_ECOLI	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	1.98774e+06	2.62937e+06	2.50798e+06	2.78579e+06	2.93961e+06	2.84388e+06
P0AGJ9	P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	6.3431e+06	6.55526e+06	6.49358e+06	6.55295e+06	6.50217e+06	6.45103e+06
P0AGK8	P0AGK8	ISCR_ECOLI	iscR	HTH-type transcriptional regulator IscR	1.54892e+06	1.50513e+06	1.39783e+06	2.17968e+06	1.7747e+06	1.86652e+06
P0AGL2	P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	568182	436734	443845	570525	459971	404724
P0AGL5	P0AGL5	RATA_ECOLI	ratA	Ribosome association toxin RatA	186972	203039	294498	440380	405042	374956
P0AGL7	P0AGL7	RSME_ECOLI	rsmE	Ribosomal RNA small subunit methyltransferase E	1.29583e+06	1.33646e+06	1.33283e+06	1.47215e+06	1.36893e+06	1.19844e+06
P0C018	P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	2.32576e+07	2.09168e+07	2.2767e+07	3.0141e+07	2.76223e+07	2.87389e+07
P0C054	P0C054	IBPA_ECOLI	ibpA	Small heat shock protein IbpA	472252	526906	508267	573371	558204	523467
P0C093	P0C093	SLMA_ECOLI	slmA	Nucleoid occlusion factor SlmA	427947	294799	434188	640139	387890	639122
P0C0L2	P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	4.40811e+06	4.51197e+06	4.1556e+06	4.22418e+06	4.07503e+06	4.1188e+06
P0C0L7	P0C0L7	PROP_ECOLI	proP	Proline/betaine transporter	174053			102535	137990	121845
P0C0L9	P0C0L9	ISCX_ECOLI	iscX	Protein IscX	2.02558e+06	2.2412e+06	2.25409e+06	2.07684e+06	2.22616e+06	2.03921e+06
P0C0S1	P0C0S1	MSCS_ECOLI	mscS	Small-conductance mechanosensitive channel	1.32406e+06	1.4458e+06	1.44481e+06	1.31206e+06	1.47224e+06	1.32636e+06
P0C0T5	P0C0T5	MEPA_ECOLI	mepA	Penicillin-insensitive murein endopeptidase	370640	415449	450603	421042	492881	411677
P0C0V0	P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	1.28368e+07	1.30538e+07	1.31469e+07	1.23828e+07	1.33963e+07	1.28272e+07
P0CB39	P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	1.36917e+06	1.34516e+06	1.17632e+06	1.17077e+06	1.31347e+06	1.1835e+06
P0CE47;P0CE48	P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	3.5155e+08	2.98387e+08	3.23536e+08	3.83943e+08	3.60182e+08	3.74525e+08
P0CG19	P0CG19	RNPH_ECOLI	rph	Inactive ribonuclease PH	1.13092e+06	1.16174e+06	1.11735e+06	1.47335e+06	1.42439e+06	1.31774e+06
P0CK95	P0CK95	ACFD_ECOLI	yghJ	Putative lipoprotein AcfD homolog	1.21942e+06	1.36503e+06	1.30356e+06	1.30864e+06	1.34627e+06	1.32599e+06
P0DMC7	P0DMC7	RCSB_ECOLI	rcsB	Transcriptional regulatory protein RcsB		161316	85132.2	150681	272818	130113
P10100	P10100	RLPA_ECOLI	rlpA	Rare lipoprotein A	218385	300327	314770	386871	341637	350221
P10121	P10121	FTSY_ECOLI	ftsY	Signal recognition particle receptor FtsY	3.68349e+06	3.71603e+06	3.80381e+06	4.047e+06	4.01958e+06	3.91401e+06
P10346	P10346	GLNQ_ECOLI	glnQ	Glutamine transport ATP-binding protein GlnQ	2.0126e+06	2.08014e+06	2.00584e+06	2.04251e+06	2.03553e+06	2.04422e+06
P10371	P10371	HIS4_ECOLI	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	2.00042e+06	2.18164e+06	2.25147e+06	2.14681e+06	2.43337e+06	2.35824e+06
P10384	P10384	FADL_ECOLI	fadL	Long-chain fatty acid transport protein	1.66643e+07	1.5461e+07	1.49741e+07	1.48468e+07	1.43615e+07	1.45039e+07
P10408	P10408	SECA_ECOLI	secA	Protein translocase subunit SecA	5.11668e+06	4.90907e+06	5.22778e+06	5.21786e+06	5.50215e+06	5.30862e+06
P10442	P10442	RNH2_ECOLI	rnhB	Ribonuclease HII	373826	377290	341692	312412	462492	377739
P10443	P10443	DPO3A_ECOLI	dnaE	DNA polymerase III subunit alpha	670980	660898	730306	664432	610013	581566
P10903	P10903	NARK_ECOLI	narK	Nitrate/nitrite transporter NarK	1.60644e+06	1.5e+06	1.72179e+06	1.57893e+06	1.56661e+06	1.58272e+06
P11349	P11349	NARH_ECOLI	narH	Respiratory nitrate reductase 1 beta chain	907610	779757	840964	854407	813817	841802
P11447	P11447	ARLY_ECOLI	argH	Argininosuccinate lyase	953265	909332	922559	892817	903972	934275
P11557	P11557	DAMX_ECOLI	damX	Cell division protein DamX	507260	389833	396966	497213	512009	455366
P11868	P11868	TDCD_ECOLI	tdcD	Propionate kinase	147239	299616	322224		161013	
P11875	P11875	SYR_ECOLI	argS	Arginine--tRNA ligase	2.19993e+06	2.39059e+06	2.35505e+06	2.30358e+06	2.23094e+06	2.36145e+06
P11880	P11880	MURF_ECOLI	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	413553	296758	358546	412904	407291	396042
P12008	P12008	AROC_ECOLI	aroC	Chorismate synthase	278174	177867	226766	292900	140821	225790
P12281	P12281	MOEA_ECOLI	moeA	Molybdopterin molybdenumtransferase	3.12881e+06	3.00777e+06	3.20524e+06	3.55061e+06	3.44852e+06	3.37881e+06
P12295	P12295	UNG_ECOLI	ung	Uracil-DNA glycosylase	1.45426e+06	1.31512e+06	1.43315e+06	1.30593e+06	1.35943e+06	1.31681e+06
P12758	P12758	UDP_ECOLI	udp	Uridine phosphorylase	2.14659e+07	1.90606e+07	2.1006e+07	2.06677e+07	1.93245e+07	2.01072e+07
P12994	P12994	YBHB_ECOLI	ybhB	UPF0098 protein YbhB	426034	465255	545244	494087	394238	426141
P12996	P12996	BIOB_ECOLI	bioB	Biotin synthase	306586	271839	271036	382696	660262	286287
P13001	P13001	BIOH_ECOLI	bioH	Pimeloyl-[acyl-carrier protein] methyl ester esterase	853133	888050	715235	820246	894767	674626
P13009	P13009	METH_ECOLI	metH	Methionine synthase	784816	869141	966164	884014	904033	943701
P13024	P13024	FDHE_ECOLI	fdhE	Protein FdhE	2.71247e+06	2.63227e+06	2.51601e+06	2.52121e+06	2.77051e+06	2.53391e+06
P13029	P13029	KATG_ECOLI	katG	Catalase-peroxidase	3.9818e+07	3.81423e+07	3.89452e+07	4.00985e+07	3.91029e+07	4.01839e+07
P13033	P13033	GLPB_ECOLI	glpB	Anaerobic glycerol-3-phosphate dehydrogenase subunit B	708650	842600	708448	881152	854303	737459
P13035	P13035	GLPD_ECOLI	glpD	Aerobic glycerol-3-phosphate dehydrogenase	2.31023e+06	2.32963e+06	2.23301e+06	2.63197e+06	2.46104e+06	2.76561e+06
P13445	P13445	RPOS_ECOLI	rpoS	RNA polymerase sigma factor RpoS	3.07493e+06	2.74531e+06	2.78071e+06	2.65305e+06	2.5959e+06	2.6507e+06
P13458	P13458	SBCC_ECOLI	sbcC	Nuclease SbcCD subunit C	149099		163921	153722		144442
P13482	P13482	TREA_ECOLI	treA	Periplasmic trehalase		134395	166945	133351	196403	155021
P14081	P14081	SELB_ECOLI	selB	Selenocysteine-specific elongation factor	483804	648237	681532	613733	607465	558713
P14175	P14175	PROV_ECOLI	proV	Glycine betaine/L-proline transport ATP-binding protein ProV	234085	280786	311130	286936	252307	285517
P14407	P0AC33;P14407	FUMB_ECOLI	fumB	Fumarate hydratase class I, anaerobic	2.60632e+07	2.45562e+07	2.62681e+07	2.58222e+07	2.53719e+07	2.6375e+07
P14900	P14900	MURD_ECOLI	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	2.70158e+06	2.39521e+06	2.15793e+06	3.03218e+06	2.93386e+06	2.89301e+06
P15034	P15034	AMPP_ECOLI	pepP	Xaa-Pro aminopeptidase	5.04634e+06	5.30134e+06	5.58899e+06	5.76133e+06	6.20808e+06	5.16429e+06
P15038	P15038	HELD_ECOLI	helD	Helicase IV	89811.1	109502	142427	142932	222616	119648
P15042	P15042	DNLJ_ECOLI	ligA	DNA ligase	2.35342e+06	2.1636e+06	2.36001e+06	2.12137e+06	2.11268e+06	2.26115e+06
P15047	P15047	ENTA_ECOLI	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	443744	507436	486721	406006	600665	537485
P15067	P15067	GLGX_ECOLI	glgX	Glycogen debranching enzyme	269204	272564	267460	336865	317087	273582
P15254	P15254	PUR4_ECOLI	purL	Phosphoribosylformylglycinamidine synthase	1.12488e+06	1.02248e+06	1.10878e+06	1.18125e+06	1.231e+06	1.15447e+06
P15288	P15288	PEPD_ECOLI	pepD	Cytosol non-specific dipeptidase	4.92336e+06	4.6857e+06	5.02047e+06	4.66596e+06	4.38803e+06	4.51077e+06
P15639	P15639	PUR9_ECOLI	purH	Bifunctional purine biosynthesis protein PurH	2.21224e+06	2.18751e+06	2.12474e+06	2.36604e+06	2.19916e+06	2.24623e+06
P15640	P15640	PUR2_ECOLI	purD	Phosphoribosylamine--glycine ligase	1.8926e+06	1.72548e+06	1.67962e+06	1.81113e+06	1.78556e+06	1.95846e+06
P15770	P15770	AROE_ECOLI	aroE	Shikimate dehydrogenase (NADP(+))	1.24787e+06	1.11767e+06	1.34161e+06	1.42951e+06	1.26835e+06	1.28794e+06
P15977	P15977	MALQ_ECOLI	malQ	4-alpha-glucanotransferase	439185	731582	505613	693431	856410	477339
P16095	P16095	SDHL_ECOLI	sdaA	L-serine dehydratase 1	502260	668949	572338	888506	969960	1.03253e+06
P16384	P16384	MIAA_ECOLI	miaA	tRNA dimethylallyltransferase	1.84267e+06	1.89511e+06	2.09561e+06	2.15386e+06	2.16047e+06	2.00859e+06
P16431	P16431	HYCE_ECOLI	hycE	Formate hydrogenlyase subunit 5	662466	790445	664130	732526	767079	686760
P16456	P16456	SELD_ECOLI	selD	Selenide, water dikinase	1.48341e+06	1.3849e+06	1.35174e+06	1.45697e+06	1.40807e+06	1.39121e+06
P16528	P16528	ICLR_ECOLI	iclR	Acetate operon repressor	602823	537790	584992	604927	613030	612191
P16659	P16659	SYP_ECOLI	proS	Proline--tRNA ligase	5.00094e+06	4.98865e+06	5.07438e+06	5.77598e+06	5.81295e+06	5.87995e+06
P16676	P16676	CYSA_ECOLI	cysA	Sulfate/thiosulfate import ATP-binding protein CysA	407349	445343	267477	377865	438550	396196
P16700	P16700	CYSP_ECOLI	cysP	Thiosulfate-binding protein	3.60147e+06	3.86843e+06	3.72483e+06	3.93905e+06	4.26956e+06	4.28194e+06
P16703	P16703	CYSM_ECOLI	cysM	Cysteine synthase B	1.74669e+06	1.79698e+06	1.76204e+06	1.77024e+06	1.86322e+06	1.85259e+06
P16926	P16926	MREC_ECOLI	mreC	Cell shape-determining protein MreC	1.17092e+06	1.08466e+06	1.20523e+06	1.16691e+06	1.14993e+06	1.23991e+06
P17109	P17109	MEND_ECOLI	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	1.65861e+06	1.56155e+06	1.56818e+06	1.50064e+06	1.50586e+06	1.57069e+06
P17117	P17117	NFSA_ECOLI	nfsA	Oxygen-insensitive NADPH nitroreductase	3.09189e+06	2.65649e+06	3.42452e+06	2.87685e+06	2.89844e+06	2.72808e+06
P17169	P17169	GLMS_ECOLI	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	1.40938e+07	1.30081e+07	1.34854e+07	1.45346e+07	1.41414e+07	1.38602e+07
P17315	P17315	CIRA_ECOLI	cirA	Colicin I receptor	1.02396e+06	954788	971245	934523	963960	997132
P17443	P17443	MURG_ECOLI	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	599726	671774	570358	566901	493556	548448
P17444	P17444	BETA_ECOLI	betA	Oxygen-dependent choline dehydrogenase	405116	378539		434605		262654
P17445	P17445	BETB_ECOLI	betB	NAD/NADP-dependent betaine aldehyde dehydrogenase	282845	283156	272811	369025	367337	355542
P17846	P17846	CYSI_ECOLI	cysI	Sulfite reductase [NADPH] hemoprotein beta-component	3.70646e+06	3.35114e+06	3.6975e+06	3.8759e+06	3.88776e+06	3.92849e+06
P17854	P17854	CYSH_ECOLI	cysH	Phosphoadenosine phosphosulfate reductase	1.18821e+06	1.2245e+06	1.45584e+06	1.42594e+06	1.55431e+06	1.53613e+06
P17952	P17952	MURC_ECOLI	murC	UDP-N-acetylmuramate--L-alanine ligase	2.01389e+06	1.91941e+06	1.88565e+06	1.99338e+06	2.12342e+06	1.87461e+06
P17993	P17993	UBIG_ECOLI	ubiG	Ubiquinone biosynthesis O-methyltransferase	1.95254e+06	1.71775e+06	1.90605e+06	2.0587e+06	1.96025e+06	1.92388e+06
P18133	P18133	PNCB_ECOLI	pncB	Nicotinate phosphoribosyltransferase	90698.3	203962	211719	225034	282089	369553
P18196	P18196	MINC_ECOLI	minC	Septum site-determining protein MinC	442423	301906	242593	307969	327181	372215
P18390	P18390	YJJA_ECOLI	yjjA	Uncharacterized protein YjjA	997025	1.07375e+06	998882	1.00849e+06	889971	1.09993e+06
